price,year,body_type,volume,fuel,gearbox,type,brand,model
1300000,2000,седан,1.5,бензин,механика,Б/у,ВАЗ,2106
1300000,2011,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
3880000,2015,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
1200000,2011,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Kalina 1119
3700000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
4200000,2014,хэтчбек,1.6,бензин,робот,Б/у,ВАЗ,Priora 2172
2300000,2017,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1350000,2008,универсал,1.5,бензин,механика,Б/у,ВАЗ,2111
5500000,2019,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1100000,1998,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
290000,1998,седан,1.3,бензин,механика,Б/у,ВАЗ,2106
1400000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1350000,2011,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
3100000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
900000,2010,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
3800000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1350000,2012,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2114
2200000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2000000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2300000,2011,хэтчбек,1.4,бензин,механика,Б/у,ВАЗ,Kalina 1119
3850000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1800000,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
550000,2002,седан,1.5,бензин,механика,Б/у,ВАЗ,21099
700000,2007,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
4650000,2020,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
2700000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
4400000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1900000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
3600000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
3600000,2019,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1400000,2010,седан,1.6,бензин,механика,Б/у,ВАЗ,Kalina 1118
1600000,2006,седан,1.6,бензин,механика,Б/у,ВАЗ,Kalina 1118
2000000,2018,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
4600000,2020,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
1700000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
2200000,2017,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2910000,2019,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2250000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2100000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1750000,2010,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2000000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
850000,2005,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
4950000,2022,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,XRAY Cross
3750000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Kalina 1119
6500000,2022,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Niva Travel
3200000,2018,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
1500000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
5800000,2021,универсал,1.6,бензин,механика,Б/у,ВАЗ,Vesta SW Cross
2250000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
3950000,2019,седан,1.8,бензин,механика,Б/у,ВАЗ,Vesta
4200000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
3800000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
2700000,2014,лифтбек,1.6,бензин,механика,Б/у,ВАЗ,Granta 2191
2450000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2150000,2010,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1550000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
2700000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
250000,2008,седан,1.6,бензин,механика,Б/у,ВАЗ,2107
800000,1993,седан,1.6,бензин,механика,Б/у,ВАЗ,2106
1100000,2006,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
1300000,2006,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,2123
1400000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1150000,2003,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
2999000,2019,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta
1600000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
1700000,2011,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
4500000,2018,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
4200000,2019,универсал,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2194
400000,2006,седан,1.5,бензин,механика,Б/у,ВАЗ,2110
4200000,2018,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
3000000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
4500000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
4200000,2018,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1500000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
3350000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1500000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
5400000,2019,универсал,1.8,бензин,механика,Б/у,ВАЗ,Vesta SW Cross
550000,2003,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
1800000,2007,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
1600000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
600000,1993,седан,1.5,бензин,механика,Б/у,ВАЗ,2105
420000,2004,седан,1.5,бензин,механика,Б/у,ВАЗ,2107
3150000,2017,фургон,1.6,бензин,механика,Б/у,ВАЗ,Largus (фургон)
3500000,2013,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
2650000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1100000,2008,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2113
450000,2006,седан,1.5,бензин,механика,Б/у,ВАЗ,2107
4400000,2019,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
4200000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
950000,2004,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
1200000,2006,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Kalina 1119
1650000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1600000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
2200000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2400000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1300000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
3300000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
3200000,2013,внедорожник,1.7,газ-бензин,механика,Б/у,ВАЗ,Lada 2131 (5-ти дверный)
3500000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2800000,2014,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
2100000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
1100000,1999,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2109
2200000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
850000,2007,хэтчбек,1.6,газ,механика,Б/у,ВАЗ,2112
4000000,2019,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
5550000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
4000000,2022,лифтбек,1.6,бензин,механика,Б/у,ВАЗ,Granta 2191
950000,2001,седан,1.6,бензин,механика,Б/у,ВАЗ,2106
1500000,2014,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
1600000,2004,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2121
1300000,2011,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
800000,2003,седан,1.6,бензин,механика,Б/у,ВАЗ,2110
2490000,2018,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
3200000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
4500000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Vesta
1000000,2011,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
2750000,2014,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Priora 2172
980000,2005,хэтчбек,1.5,бензин,механика,Б/у,ВАЗ,2114
900000,2000,седан,1.5,бензин,механика,Б/у,ВАЗ,21099
400000,2000,седан,1.5,бензин,механика,Б/у,ВАЗ,21099
4500000,2020,универсал,1.6,бензин,механика,Б/у,ВАЗ,Largus
1600000,2007,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2950000,2015,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
3100000,2015,универсал,1.6,газ-бензин,механика,Б/у,ВАЗ,Largus
1400000,2011,седан,1.5,бензин,механика,Б/у,ВАЗ,2115
2000000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1500000,2010,универсал,1.4,бензин,механика,Б/у,ВАЗ,Kalina 1117
5100000,2020,универсал,1.6,бензин,механика,Б/у,ВАЗ,Vesta SW
5850000,2020,универсал,1.6,бензин,механика,Б/у,ВАЗ,Vesta Cross
3000000,2014,внедорожник,1.7,бензин,механика,Б/у,ВАЗ,Lada 2131 (5-ти дверный)
1700000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2350000,2013,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
2400000,2014,седан,1.6,бензин,механика,Б/у,ВАЗ,Priora 2170
2500000,2013,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1750000,2012,седан,1.6,бензин,механика,Б/у,ВАЗ,2115
2800000,2018,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
4900000,2020,седан,1.6,бензин,автомат,Б/у,ВАЗ,Granta 2190
1520000,2012,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,2114
1000000,2006,седан,1.6,газ-бензин,механика,Б/у,ВАЗ,2110
2450000,2014,седан,1.6,газ-бензин,механика,Б/у,ВАЗ,Granta 2190
2350000,2014,хэтчбек,1.6,бензин,механика,Б/у,ВАЗ,Kalina 2192
6300000,2025,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
4190000,2020,седан,1.6,бензин,механика,Б/у,ВАЗ,Granta 2190
1450000,2012,универсал,1.6,бензин,механика,Б/у,ВАЗ,Priora 2171
2500000,2015,лифтбек,1.6,бензин,механика,Б/у,ВАЗ,Granta 2191
